,likeItCount,topPointTotalNumber,topTotalStarPoint,commentCount,sympathyCount,antipathyCount
150,12924,9.93,17508,1737,48254,1604
151,13193,9.95,18489,1623,59879,2534
152,12727,9.93,17899,1955,62165,2207
153,13409,9.95,19000,2354,43751,2688
154,13306,9.94,17622,1347,44004,2074
155,13015,9.94,17866,2075,71449,3337
156,12777,9.94,17987,1316,53551,1399
157,12826,9.85,16938,2105,83059,5088
158,12223,9.84,18056,1378,56249,1705
159,12786,9.87,18368,1761,67167,3019
160,11911,9.69,17035,1463,66740,2031
161,13100,9.86,19176,1911,58849,1861
162,12186,9.85,17228,1296,52569,1696
163,12395,9.87,16721,1220,40906,2152
164,13437,9.93,17809,1091,46714,3414
165,13281,9.92,18453,1961,69419,2842
166,12266,9.79,16190,6040,29422,1595
167,12485,9.82,15819,1472,59486,2869
168,12717,9.85,16371,1415,47424,3001
169,11845,9.84,15874,1927,87214,1857
170,12401,9.91,17974,1520,68442,1609
171,12055,9.92,16924,1723,56119,2335
172,11930,9.90,15892,1195,46209,2171
173,12946,9.91,18944,2061,110286,1820
174,12797,9.91,18858,3251,68424,1756
175,12050,9.91,16805,1224,48575,5325
176,12053,9.86,16085,956,32573,1302
177,12066,9.88,15839,863,34484,1675
178,11793,9.82,15599,1247,68422,3026
179,12096,9.84,17672,1028,38684,2720
180,12226,9.83,17254,1236,40414,1558
181,11916,9.66,17166,1946,34708,2674
182,12796,9.75,17191,2003,51618,2488
183,12077,9.68,18362,1939,43412,2459
184,11221,8.37,20201,3097,68218,9244
185,12508,9.73,18521,2000,70877,1776
186,11417,8.66,20834,2939,39908,6319
187,11348,7.72,25640,4927,42729,5996
188,11228,8.27,18110,2134,44526,3489
189,12246,9.80,18904,2418,80131,2659
190,11856,9.85,16969,1941,74847,5206
191,11372,9.78,15221,1047,36462,1385
192,12037,9.84,16901,1113,40187,1571
193,11888,9.90,15380,1302,54782,2118
194,11549,9.84,14784,1628,60955,2834
195,11169,9.70,14440,1406,49935,1821
196,11403,9.82,14166,927,51190,1575
197,11874,9.64,22246,1672,67082,1815
198,10379,9.67,14036,962,41639,1967
199,11423,9.75,15443,996,45539,2041
200,11220,9.48,22149,1873,50708,2757
201,11493,9.53,19035,1904,69502,3312
202,12025,9.81,17067,1498,84451,2324
203,12025,9.85,16220,1361,61079,2470
204,11705,9.81,15083,1081,40006,1569
205,11190,9.81,14112,762,34896,1620
206,11003,9.82,14670,886,47884,1644
207,11027,9.76,15431,775,31749,1845
208,10984,9.75,13945,1022,52519,1980
209,10835,9.81,14393,994,35312,939
210,11302,9.81,15186,1167,50611,1778
211,11124,9.69,15787,1615,46991,2047
212,11586,9.76,15998,1421,56963,1728
213,10876,8.79,16898,1821,67007,4318
214,10318,7.47,19636,2725,59083,5855
215,10180,9.38,13341,1040,56199,1459
216,10456,9.59,14158,1257,63185,1162
217,10977,9.45,15121,1683,68969,2512
218,9974,6.79,20433,3088,70682,7111
219,9195,6.11,20537,3802,59816,4122
220,8368,8.47,14311,1068,27843,1806
221,8283,7.33,15547,2118,42357,2043
222,8068,7.55,15977,3353,31783,4616
223,8314,7.72,15772,2157,37779,4084
224,8402,8.43,14600,1435,49998,2894
225,7573,5.53,20244,5137,47791,4900
226,7581,5.05,32731,3678,52544,5070
227,7775,8.04,16566,1263,32618,3034
228,7355,7.03,14815,1550,29777,2024
229,7124,5.70,18229,2977,25838,2846
230,8006,8.03,14968,1891,53171,2974
231,7593,7.42,16406,2112,33669,4782
232,7315,6.39,19717,3604,56906,3930
233,7144,7.47,14287,1338,30995,1865
234,7117,3.76,37194,5547,58366,4603
235,6749,4.43,24642,4040,51022,2812
236,6543,3.32,35864,5251,47564,4989
237,6590,4.21,29284,4506,47703,7142
238,7143,6.01,22964,3246,31827,4820
239,6238,3.92,29788,3824,47346,3516
240,6408,4.63,26593,3612,37091,2206
241,6237,3.92,29598,4969,54547,2221
242,5741,3.10,34584,7154,66993,2246
243,5506,4.77,17797,1912,37697,1394
244,5231,4.35,17966,2370,37696,2265
245,5623,5.62,17548,4068,34270,2094
246,5821,2.05,70076,14046,104911,6678
247,5761,4.28,37793,16216,113058,15771
248,7770,4.79,28933,4429,58003,9330
249,5698,4.59,28106,2285,25314,4369
250,5336,4.65,23870,2453,20708,2349
251,4955,5.21,18745,1441,22319,1925
252,5388,6.41,17089,1303,31126,3802
253,5203,6.26,15219,1270,24116,2759
254,5283,7.37,13611,1121,22125,2330
255,5137,7.50,12950,1336,32221,2797
256,5437,8.16,11258,814,20637,1380
257,5280,8.33,10643,662,28355,1251
258,5665,8.29,11511,970,20845,2422
259,5052,6.88,11753,930,29671,1538
260,4499,6.20,11813,837,27753,1517
261,5102,7.80,12959,1111,15302,1341
262,4360,7.16,10037,893,23059,699
263,4539,7.56,9528,747,19755,978
264,4458,5.71,12809,1424,25680,1006
265,3898,3.11,25736,3187,27242,1208
266,4035,3.97,16555,2059,33021,994
267,4529,7.01,13226,1284,23836,1624
268,4600,7.43,11810,1055,26202,664
269,3917,4.80,13057,1762,23231,1010
270,3651,4.10,14260,1747,26888,1154
271,4383,7.07,13592,1090,23162,1444
272,4076,5.19,12178,1532,22834,698
273,4415,7.23,12378,1050,27047,2132
274,4351,7.62,9507,793,16143,1644
275,4026,7.37,8555,662,11281,667
276,3575,5.07,12119,1575,27724,4270
277,3409,5.27,10882,824,25190,3157
278,3682,7.17,8625,663,20597,2384
279,3466,5.48,9611,684,18317,605
280,3168,5.03,10627,1199,19710,557
281,3104,5.22,10009,999,21316,458
282,3093,5.06,9884,1202,10319,534
283,3199,6.30,9100,826,22707,545
284,2908,3.86,12642,1732,14270,619
285,2880,5.45,9710,1034,12875,694
286,3090,6.51,8191,756,11800,726
287,3544,8.12,9507,924,18897,1037
288,2931,5.55,8980,1182,11314,698
289,3138,7.37,7871,584,12157,944
290,3618,8.38,8491,819,17579,623
291,3968,8.70,9544,1003,23763,555
292,3238,7.84,7476,816,12747,375
293,3236,7.91,7829,581,10306,506
294,3051,6.54,7973,1341,23792,2957
295,2829,5.73,8984,1691,12186,1654
296,2465,4.84,14455,1962,18736,822
